screen_name,profile_image_url,location,created_time,text
络腮胡子遛锅ber,"https://tva1.sinaimg.cn/crop.0.0.180.180.50/7033d830jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1696922106&ssig=Sbw4rek4pE",四川 成都,Sun Sep 10 20:47:31  2023,这牌子应该没了吧，以后谁买谁傻批呀，，，，，，
奶丸不守时日记,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/007iyU3fly8himi3oy16bj30u00u075z.jpg?KID=imgbed,tva&Expires=1696922107&ssig=pmhwVZ4VeQ",河南,Sun Sep 10 16:01:47  2023,我们打工人招你惹你了[泪][泪]
叶上初阳6012,"https://tvax3.sinaimg.cn/crop.0.0.960.960.50/008h1EQIly8h3shw8ng03j30qo0qojt1.jpg?KID=imgbed,tva&Expires=1696922107&ssig=C7pJVX5oWc",浙江,Sun Sep 10 21:40:04  2023,一直用你家散粉，以后不会再买了，拜拜，希望你的产品会有天天涨工资的人买[送花花]
风语祝,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/9fc28b09ly8gvzjksgd0aj20ro0ron06.jpg?KID=imgbed,tva&Expires=1696922107&ssig=%2BXTrXPBaVB",浙江 温州,Sun Sep 10 21:27:04  2023,李佳琦这下要死定了，给花西子招黑，选主播之前好好选人先，他没有很高的文凭和修养，就因为做主播赚钱容易和快，大家把他捧的太高，他就随便说话了[doge]
老公是程博衍,"https://tvax3.sinaimg.cn/crop.0.0.750.750.50/006n4DGnly8hfs2yvvlikj30ku0ku404.jpg?KID=imgbed,tva&Expires=1696922107&ssig=XbiGe6bnwW",吉林 长春,Sun Sep 10 17:43:02  2023,难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用
陈老师的一生,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/005GfkLMly8h4pwp13pr1j30u00u0jst.jpg?KID=imgbed,tva&Expires=1696922107&ssig=yM7YDuLr74",海外,Sun Sep 10 22:01:52  2023,李佳琦成功一人把花西子品牌给搞没了[二哈]
桃桃_victory_,"https://tvax4.sinaimg.cn/crop.0.0.690.690.50/008h75Kqly8hgcxsdzqacj30j60j60tr.jpg?KID=imgbed,tva&Expires=1696922107&ssig=NU4daLj3P7",海外,Sun Sep 10 16:06:21  2023,审判我们大家你哪儿来的优越感，眉笔比黄金都贵也不看自己是什么牌子配不配卖这个价，主播李佳琦凭什么阴阳怪气普通人，知不知道你们能有今天全靠你们口中不努力的消费者给你们脸，因为李佳琦言论直接拉黑花西子，真败好感[可爱]
胖哒不是pandaa,"https://tvax4.sinaimg.cn/crop.0.50.840.840.50/008urnrely8h55l53dmwmj30nc0q4t9k.jpg?KID=imgbed,tva&Expires=1696922107&ssig=OugrlDVlll",海外 日本,Mon Sep 11 00:44:56  2023,花西子给每个员工涨工资了吗?花西子旗下员工都买得起花西子眉笔吗?花西子干了这么多年还啥都不是，是因为不够努力吗[举手][举手][举手]
贰柒梓墨,"https://tvax3.sinaimg.cn/crop.0.0.828.828.50/007ZaOx9ly8gdinelof9nj30n00n0tc3.jpg?KID=imgbed,tva&Expires=1696922107&ssig=QaLaOxSDJt",浙江 杭州,Sun Sep 10 20:57:09  2023,花西子的眉笔就是贵！性价比低，很多品牌的眉笔都用过，花西子贵贵贵，一支芯一点不经用，那人说的没错，你们公司的股东李佳琦先生凭什么让人反思，就算年年涨工资也不能乱用钱，我买了两次后面就换了（有配图不是胡说 http://t.cn/A6O699Aj
---条锦鲤,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/005YVIw3ly8gaunfm0mthj30u00u0n1h.jpg?KID=imgbed,tva&Expires=1696922107&ssig=X1UhRdUMy3",广东,Sun Sep 10 23:49:30  2023,花西子眉笔980一克，黄金都要450一克了，花西子国际大品牌哪里贵了[doge] http://t.cn/A6O6YsEI
