uid,id,screen_name,description,followers_count,friends_count,statuses_count,gender,province,city,location,description,star,svip,vvip,is_teenager,created_at
1968758563,5848214712,ZHOUJIAO_A,过好每一天是现在的目标😊A+G 必妥维,152,281,39,m,53,1,云南 昆明,过好每一天是现在的目标😊A+G 必妥维,0,0,0,0,Wed Feb 03 01:41:17 +0800 2016
1968758563,6618717070,还木有墙头,随便吧 自己开心就好,26,39,77,f,37,2,山东 青岛,随便吧 自己开心就好,0,0,0,0,Wed Aug 01 14:08:47 +0800 2018
1968758563,5630198577,飞过希望-Jocye,坐看云起,3,145,5,f,100,1000,其他,坐看云起,0,0,0,0,Fri Jan 13 21:01:41 +0800 2017
1968758563,2624664083,小伴XiWen,,15,35,0,f,44,3,广东 深圳,,0,0,0,0,Mon Feb 20 21:31:28 +0800 2012
1968758563,2769760133,杨临博,,139,19,7,f,21,7,辽宁 锦州,,0,0,0,0,Fri Jun 29 13:00:51 +0800 2012
1968758563,5948848242,麦兜没有兜11201606,,44,55,353,f,22,1000,吉林,,0,0,0,0,Thu Jun 09 18:35:48 +0800 2016
1968758563,7872232777,我的心里从此住了一个多多,人间于此，欢喜是你💕,4,39,44,f,100,1000,其他,人间于此，欢喜是你💕,0,0,0,0,Fri Sep 22 11:08:19 +0800 2023
1968758563,6590689707,念初5776,喜欢交朋友 所以 我希望大家别讨厌我,0,238,1,f,34,8,安徽 安庆,喜欢交朋友 所以 我希望大家别讨厌我,0,0,0,0,Wed Jul 04 16:22:20 +0800 2018
1968758563,5876361419,漩子柒,,7,69,43,f,13,1000,河北,,0,0,0,0,Tue Mar 08 18:19:33 +0800 2016
1968758563,7660508990,快乐的女神就是我,,0,66,50,f,100,1000,其他,,0,0,0,0,Wed Jul 28 22:47:47 +0800 2021
1968758563,5579475138,LiDcc7,🖤 ​​​,213,175,74,f,51,1,四川 成都,🖤 ​​​,0,0,0,0,Sat Apr 04 11:39:25 +0800 2015
1968758563,7188413064,zuerst_ing,今天开心吗,60,195,1256,f,42,1000,湖北,今天开心吗,0,0,0,0,Mon Jun 10 15:08:19 +0800 2019
1968758563,7340469266,易只流浪野王,,857,511,15912,m,100,1000,其他,,0,1,0,0,Wed Nov 20 19:33:00 +0800 2019
1968758563,6664861322,冬菇虾米的日常,一个人的小号。。。,2,78,37,f,44,1000,广东,一个人的小号。。。,0,0,0,0,Mon Aug 27 21:25:36 +0800 2018
1968758563,2387961814,-H-Jing,,335,242,384,f,53,29,云南 大理,,0,0,0,0,Sun Sep 11 10:10:14 +0800 2011
1968758563,6472499248,琴植,,1,35,6,f,100,1000,其他,,0,0,0,0,Sat Mar 17 20:34:59 +0800 2018
1968758563,5611097638,阿布要努力1,平平淡淡，真真实实,38,87,1,f,34,7,安徽 铜陵,平平淡淡，真真实实,0,0,0,0,Mon May 18 22:21:32 +0800 2015
1968758563,7843774504,用户7843774504,,0,5,0,f,100,1000,其他,,0,0,0,0,Wed Jun 07 21:35:56 +0800 2023
1968758563,1821779012,岑银梅,🌹💓Aimee Cen范媛启岑玥儿,1759,241,392,f,44,1,广东 广州,🌹💓Aimee Cen范媛启岑玥儿,0,0,0,0,Sat Sep 18 23:02:28 +0800 2010
1968758563,6051943096,三金睿睿,,46,165,30,f,11,1000,北京,,0,0,0,0,Tue Oct 25 13:57:14 +0800 2016
1968758563,6051943096,三金睿睿,,46,165,30,f,11,1000,北京,,0,0,0,0,Tue Oct 25 13:57:14 +0800 2016
1968758563,7684217388,用户7684217388,,0,246,268,m,100,1000,其他,,0,0,0,0,Sun Aug 29 00:35:17 +0800 2021
1968758563,6692096621,小牛顿嘟嘟,,4,101,1372,f,100,1000,其他,,0,0,0,0,Mon Sep 10 18:22:54 +0800 2018
1968758563,6033492713,徐杨_Rui_Min,徐杨锐敏……🏉🏉🏉 An Airbus fan and a football lover.,105,56,59,m,400,1,海外 美国,徐杨锐敏……🏉🏉🏉 An Airbus fan and a football lover.,0,0,0,0,Tue Sep 27 20:37:06 +0800 2016
1968758563,6035114574,是薯片崽,,0,63,0,m,100,1000,其他,,0,0,0,0,Sun Oct 02 17:49:25 +0800 2016
1968758563,6108037765,鲸落_无声,风花雪月，江河湖海,5,64,1,f,32,1000,江苏,风花雪月，江河湖海,0,0,0,0,Fri Jan 20 07:40:59 +0800 2017
1968758563,6393594331,科罗拉多的暴雨,,0,205,1,m,100,1000,其他,,0,0,0,0,Sat Jan 06 20:04:41 +0800 2018
1968758563,7027914795,诺诺麻麻201903,,0,160,0,f,52,1000,贵州,,0,0,0,0,Sun Mar 10 14:45:18 +0800 2019
1968758563,6334532972,拍合影,对你没兴趣,12,82,4,f,100,1000,其他,对你没兴趣,0,0,0,0,Sun Aug 06 21:21:25 +0800 2017
1968758563,7876407304,椿晴雾雨,,0,32,0,f,51,1000,四川,,0,0,0,0,Tue Oct 10 22:58:21 +0800 2023
1968758563,7876842207,用户7876842207,敢喷我的都4⃣️妈，喷完拉黑的4⃣️粑粑,0,9,0,m,33,1,浙江 杭州,敢喷我的都4⃣️妈，喷完拉黑的4⃣️粑粑,0,0,0,0,Tue Oct 10 22:58:26 +0800 2023
1968758563,5226264044,巴适的很good,喝着烈酒吹着冷风我又不想你.,0,24,1,m,100,1000,其他,喝着烈酒吹着冷风我又不想你.,0,0,0,0,Fri Nov 28 17:09:34 +0800 2014
1968758563,1982144830,Cocolu0213,,395,1176,2596,f,21,1,辽宁 沈阳,,0,0,0,0,Tue May 17 17:45:26 +0800 2011
1968758563,7313016158,粘玉米饭j,7,31,21,51,f,100,1000,其他,7,0,0,0,0,Tue Oct 01 09:54:59 +0800 2019
1968758563,7459843392,用户7459843392,,0,22,9,f,100,1000,其他,,0,0,0,0,Mon May 25 10:21:45 +0800 2020
1968758563,6555326443,用户6555326443,,0,427,3,f,100,1000,其他,,0,0,0,0,Sun May 20 16:44:18 +0800 2018
1968758563,7844660739,Xue207098,,0,14,0,f,100,1000,其他,,0,0,0,0,Sun Jun 11 15:29:29 +0800 2023
1968758563,5158349219,小昕哟吼吼,愿得一人心，白首不相离,141,419,1613,f,21,12,辽宁 铁岭,愿得一人心，白首不相离,0,0,0,0,Fri May 30 06:18:21 +0800 2014
1968758563,7874899785,用户7874899785,,0,5,7,f,100,1000,其他,,0,0,0,0,Thu Oct 05 20:45:31 +0800 2023
1968758563,6791373325,用户6791373325,,0,54,13,f,100,1000,其他,,0,0,0,0,Tue Oct 23 12:52:01 +0800 2018
1968758563,6791373325,用户6791373325,,0,54,13,f,100,1000,其他,,0,0,0,0,Tue Oct 23 12:52:01 +0800 2018
1968758563,3883146731,花猫喜欢阿桃yo,喜欢就是毫无理由的护短和潜意识的偏爱,56,86,21,f,50,31,重庆 垫江县,喜欢就是毫无理由的护短和潜意识的偏爱,0,0,0,0,Sat Nov 02 14:17:05 +0800 2013
1968758563,6412179337,小曹黑妞8133,,0,21,0,f,100,1000,其他,,0,0,0,0,Mon Jan 15 22:56:00 +0800 2018
1968758563,6445651233,Keikunchi,....,3,13,2,m,100,1000,其他,....,0,0,0,0,Sun Jan 07 09:30:49 +0800 2018
1968758563,7291931226,cre-yzy,,0,59,1,f,100,1000,其他,,0,0,0,0,Mon Aug 26 00:15:18 +0800 2019
1968758563,7875058070,Luke_23,,0,53,0,m,100,1000,其他,,0,0,0,0,Mon Oct 02 01:38:33 +0800 2023
1968758563,5666443802,LUGUDOU,可是江湖不信眼泪 她的孤独没人体会,2,11,0,f,100,1000,其他,可是江湖不信眼泪 她的孤独没人体会,0,0,0,0,Sun Aug 02 23:59:46 +0800 2015
1968758563,5807743078,韩华男1221,,54,77,6,m,11,1000,北京,,0,0,0,0,Sat Dec 26 10:09:35 +0800 2015
1968758563,3949759740,今年也是莉莉安,珍惜天赋，保持悲悯,92,571,1374,f,51,1000,四川,珍惜天赋，保持悲悯,0,0,0,0,Fri Dec 20 21:44:03 +0800 2013
1968758563,6488202697,光明正大ke西皮,我站的cp永远最甜,20,177,39,f,100,1000,其他,我站的cp永远最甜,0,0,0,0,Mon May 28 11:03:22 +0800 2018
1968758563,2588696487,宠oo儿,,141,420,138,f,100,1000,其他,,0,0,0,0,Mon Jan 23 23:26:44 +0800 2012
1968758563,7819935296,厂子999,,0,8,2,m,61,1000,陕西,,0,0,0,0,Thu Feb 09 14:54:18 +0800 2023
1968758563,6991287340,小星o-,喜乐厌苦愁·,4,181,11,f,15,26,内蒙古 乌兰察布市,喜乐厌苦愁·,0,0,0,0,Mon Feb 11 19:19:32 +0800 2019
1968758563,6910817413,用户6910817413,羽毛球,2,2487,121,f,50,1000,重庆,羽毛球,0,0,0,0,Mon Dec 31 12:22:50 +0800 2018
1968758563,2665938181,橙蒙时光不碶,人生不过几万天！,106,198,52,f,32,3,江苏 徐州,人生不过几万天！,0,0,0,0,Fri Mar 16 14:55:42 +0800 2012
1968758563,2851138353,燕麦就是坠棒滴,立场有且唯一,550,126,3857,f,100,1000,其他,立场有且唯一,0,0,0,0,Fri Aug 16 20:49:50 +0800 2013
1968758563,5385854719,从前有只团子喵,(ﾉ)`ω´(ヾ) ​​​ 得之坦然，失之淡然，争其必然，顺其自然,50,155,169,f,21,2,辽宁 大连,(ﾉ)`ω´(ヾ) ​​​ 得之坦然，失之淡然，争其必然，顺其自然,0,0,0,0,Sun Nov 23 23:20:46 +0800 2014
