screen_name,profile_image_url,location,created_time,text
遇见秋雨遇见你,"https://tvax4.sinaimg.cn/crop.0.0.700.700.50/007bg1IEly8heohsyp3gjj30jg0jgmxf.jpg?KID=imgbed,tva&Expires=1696921402&ssig=pgh8EhnHv7",浙江,Mon Sep 11 06:20:05  2023,对不起，我脱粉了 http://t.cn/A6O6r3OZ
闪闪发光的单眼皮,"https://tvax1.sinaimg.cn/crop.0.0.690.690.50/007iu8scly8gzctlx5r5nj30j60j6q4j.jpg?KID=imgbed,tva&Expires=1696921402&ssig=Vs%2BnRNrBW2",重庆 江北区,Mon Sep 11 01:40:48  2023,有问题大家指正出来了，+7也认识到了自己的错误出来道歉了，散了吧，人非圣人，孰能无过。
苏打贤贤想见你,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/006VsxHely8h7fa51bpmdj30u00u0jv0.jpg?KID=imgbed,tva&Expires=1696921402&ssig=ac5YBBu1km",北京 东城区,Mon Sep 11 06:28:56  2023,你说的真的太过分了 你可能自己意识不到 大部分你直播间里的关注你的 都是普通打工人 听到什么不努力，工资不涨，真是扎心扎死了 对你特别特别失望
甜唯本唯,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/007w2AGEly8hijm9u2195j30u00u10uz.jpg?KID=imgbed,tva&Expires=1696921402&ssig=xvrryoYAx1",山东,Mon Sep 11 01:40:46  2023,希望你是真诚的道歉而不是向💰屈服
看北极光的猩猩,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/008k6bIDly8hhoxhxrzrbj30e80e8abd.jpg?KID=imgbed,tva&Expires=1696921402&ssig=5OkbxDkhhH",浙江,Mon Sep 11 01:44:02  2023,79三根！三根啊，不是一根，为什么一堆人说一根啊！！！不要被带偏了！算下来哪有比金价贵啊！现在居然都有说花西子一克980了！
詹森阿阿阿阿阿克斯-,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/a718dcc6ly8g5pt0cxs0aj20u00u078f.jpg?KID=imgbed,tva&Expires=1696921402&ssig=BpWn4%2Fk8Dp",江苏,Mon Sep 11 01:40:22  2023,好好调整下自己吧，感觉你也是压力很大然后有点绷不住了。
-那么随性-,"https://tvax4.sinaimg.cn/crop.0.0.750.750.50/008vNGyMly8h7s5osk4m8j30ku0ku0to.jpg?KID=imgbed,tva&Expires=1696921402&ssig=9bW3FSMpy6",湖北 宜昌,Mon Sep 11 07:26:15  2023,是为了双十一道歉的吧？现在的你眼里哪还有我们这些不努力工作的韭菜哦[吃瓜][吃瓜]
陈霖Sammy,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/006cPPl7ly8hdnfhn9tbqj30u00u1n0l.jpg?KID=imgbed,tva&Expires=1696921402&ssig=nSKbuemJnN",广东 深圳,Mon Sep 11 08:44:18  2023,道歉不是要你带来所谓的正能量，而是要认识到打工人的真实状态，收入低不一定是不努力，而是他用尽了努力可能真的买不起你的眉笔。
周日星期天加个班,"https://tvax2.sinaimg.cn/crop.0.0.1028.1028.50/006f2l92ly8h4nz996tdpj30sk0skab9.jpg?KID=imgbed,tva&Expires=1696921402&ssig=yBZN0u6vTu",其他,Mon Sep 11 01:44:00  2023,刷到这里的你们都找到对象了吗？房贷还了吗？
AngelSTale7,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/78c38d29ly8gqfo36antej20u00u0dj8.jpg?KID=imgbed,tva&Expires=1696921402&ssig=UvmWwMqQT4",其他,Mon Sep 11 01:49:42  2023,没事，好好做，继续做好你的工作。今年双十一不能没有你了[苦涩][苦涩][苦涩][苦涩][苦涩][苦涩][苦涩]
