screen_name,profile_image_url,location,created_time,text
蕾蕾不高兴,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/74c0db46ly8hh4bpvdc7yj20u00u075q.jpg?KID=imgbed,tva&Expires=1696921512&ssig=vdrnqYJxt2",海外,Tue Sep 19 20:59:37  2023,喜欢李佳琦
卤煮大大吃西瓜,"https://tvax2.sinaimg.cn/crop.0.0.1002.1002.50/008c50C9ly8gr0ymtt30aj30ru0rutbr.jpg?KID=imgbed,tva&Expires=1696921512&ssig=AZR0mgTKjz",辽宁,Wed Sep 20 01:03:20  2023,共情资本的都是有病，去看看脑子吧[开学季]
Yi-HeeLau,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/006CqdL9ly8h8eh43vvdfj30e80e80sy.jpg?KID=imgbed,tva&Expires=1696921512&ssig=5Ws5rqaYql",其他,Tue Sep 19 19:56:04  2023,啊？？不努力工作能看吗？？
拉黑眉目,"https://tvax2.sinaimg.cn/crop.0.0.750.750.50/008a1Ws2ly8hgf6fl3onlj30ku0kuwf0.jpg?KID=imgbed,tva&Expires=1696921512&ssig=QH7jEFH3lo",四川 成都,Tue Sep 19 20:01:27  2023,来啦，支持佳琦[打call]
畅想-1984,"https://tvax4.sinaimg.cn/crop.310.126.666.666.50/a18e51a8ly8fwdlam3tvgj20xc0xcmys.jpg?KID=imgbed,tva&Expires=1696921512&ssig=TReMy9mxmD",上海 闵行区,Wed Sep 20 00:18:35  2023,抵制李佳琦
不要轻易相信我在睡觉,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/a9214218ly8fnghgixqr3j20ro0roacm.jpg?KID=imgbed,tva&Expires=1696921512&ssig=yK7G0HH3pr",四川 眉山,Tue Sep 19 19:55:39  2023,失业了没钱更不能看[doge]
芣苢-车前草,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/007WUnwlly8hilbtpitvij30u00u042x.jpg?KID=imgbed,tva&Expires=1696921512&ssig=acumCcJtHL",上海,Tue Sep 19 19:57:40  2023,你又出来赚女孩子的💰啦？没有好好工作的我可买不起
妳的倒影是我带不走的风景丶,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/ebd7f129ly8g4wt2z4s5hj20e80e8dg9.jpg?KID=imgbed,tva&Expires=1696921512&ssig=K%2B11PbhRT%2B",陕西,Tue Sep 19 21:20:02  2023,大家别看了，快去加班工作！！！！
怎么睡觉不困呢,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/006LJxbply8hgyxz62ba5j30u00u0dk9.jpg?KID=imgbed,tva&Expires=1696921512&ssig=04ZWY00vPI",广东,Tue Sep 19 19:57:58  2023,谢谢你让我看到花西子事变[哇]一花落万物生[憧憬]
爱吃鸡的小麋鹿,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/e24afcf9ly8hhtx6dgywqj20u00u041b.jpg?KID=imgbed,tva&Expires=1696921512&ssig=nDvAS0x5gQ",江苏 南通,Tue Sep 19 19:56:53  2023,对不起，我还不够努力
