,id,bid,正文,日期,点赞数,评论数,转发数,发表时间
15,4937939220697880,NfUYi2Vy8,"花西子隐园“张敞画眉”名场面美照大曝光！
少年“张敞”穿越而来，手持眉笔为卿描绘眉间浪漫七夕之日，才子佳人共赴隐园，画眉传情快来一起回顾一场“东方式浪漫”吧~#张敞画眉#  #花西子西湖隐园# #七夕# ",2023-08-23T16:38:35,294,101,32,2023-08-23 16:38:35
16,4937621183139118,NfMHkdaCW,"古有“张敞画眉”，描绘眉间浪漫诗意
今有隐园花季少年，解锁眉间互动惊喜
七夕佳节与卿在花西子西湖隐园，线下偶遇少年“张敞”，现场一起演绎东方式浪漫~ #张敞画眉# #花西子西湖隐园# 
花西子Florasis的微博视频
 ",2023-08-22T19:34:49,142,80,32,2023-08-22 19:34:49
17,4937587259608203,NfLOBEjx1,"七夕同心锁卿意，爱意相随心不移。
七夕佳节，以锁传情，锁定朝夕，花西子与卿共赴岁岁年年。
愿卿遇良人，同心共白头～#一生锁爱永结同心# #七夕# #表白# 
花西子Florasis的微博视频
 ",2023-08-22T17:20:01,116,50,33,2023-08-22 17:20:01
18,4936389365601599,NfgEwnven,"2万份七夕定制鲜花，予卿浪漫，爱意生花~@花点时间的店 @花西子Florasis 带来七夕品牌联合福利，8月12日~8月22日购指定礼盒可享定制鲜花一束，全网限量2万份，即日起赠完即止！
戳图了解活动详情，立即参与！以花传情，爱意长存~ ",2023-08-19T10:00:01,76,52,28,2023-08-19 10:00:01
19,4936132674194340,Nf9YvhB8E,"以妆传情，永结同心。
七夕超有氛围的约会妆容来啦！花西子以月老锦红线为灵感，打造“人面桃花相映红”的浪漫七夕氛围，以妆传情，愿卿一生永结同心，甜甜蜜蜜。
❤线下用户：2023年8月20日-8月22日，即可至花西子西湖隐园门店，现场体验 「红线七夕妆」。七夕当天，还可至门店解锁“才子佳人”亲密 ...
全文",2023-08-18T17:00:01,71,50,34,2023-08-18 17:00:01
20,4935423002677732,NeRvSbeBe,"七夕沉浸式开箱来咯！花西子全球品牌大使@白鹿my 上脸给大家试色，快来抄作业吧！
七夕限定的花西子东方妆奁（七夕小粉版），外观配色采用粉色拉丝纹理，浪漫又少女心，搭配PU皮材质制作，手感柔软舒适，质感高级；不仅是礼盒还是精致的首饰盒哦，真的美观又实用，节日氛围感满满～里面都是花西子明星 ...
全文",2023-08-16T18:00:02,7078,959,703,2023-08-16 18:00:02
21,4935324847838377,NeOXywT7r,"缘定七夕，浪漫予礼。这个七夕和@白鹿my 一起，来得物搜索“花西子”，浪漫好礼等您来！更有满减满赠多种优惠，这个七夕得物花西子助您浪漫告白~
网页链接
 @得物app关注@花西子Florasis 评论并转发，8月23日抽3位幸运花伴送花西子小黛纱唇纱（复古浆红）一支~愿卿在#七夕#以礼传情，爱意无 ...
全文",2023-08-16T11:30:00,7967,1561,1431,2023-08-16 11:30:00
22,4934577426006761,Nevw2pcDf,"缘定七夕，浪漫予你。每一份礼物背后精心挑选的过程，都是#对你的爱这么大#的见证。
佳礼早到家，就选【花西子京东自营旗舰店】，8月16日晚更有花西子首席内容官福利互动，直播间抽万元大奖。#爱让好物 成为礼物#  #爱美尖子生# #京妆大牌# 
网页链接
 @京东美妆 ",2023-08-14T10:00:01,66,49,34,2023-08-14 10:00:01
23,4934215038929270,Nem5xBsUu,"为爱加码就送花西子七夕限定礼！
8月14日-8月16日京东京妆大牌享福利！领券爆品至高减50元，赠爱人、赠挚友、赠自己，来【花西子京东自营旗舰店】，花西子品牌挚友、人气偶像@孙珍妮的微博 为您推荐专属好礼，送礼无忧~#爱让好物 成为礼物# #爱美尖子生# #京妆大牌# 
网页链接
 @京东美妆  ...
全文",2023-08-13T10:00:01,2224,218,93,2023-08-13 10:00:01
24,4933852655517779,NecF3n9qr,"花式示爱，浪漫不停。
8月14日-8月16日京东花西子京妆大牌甜蜜来袭，花西子品花官@李若彤 邀您来【花西子京东自营旗舰店】购东方爱情礼，尽释浓情爱意~#爱让好物 成为礼物#  #爱美尖子生# #京妆大牌#@京东美妆  
网页链接
 
花西子Florasis的微博视频
 ",2023-08-12T10:00:01,82,53,37,2023-08-12 10:00:01
25,4933583909422316,Ne5FADxaQ,ó í~  Q  ;u  	w  KN  ¦~  ÿ  ã    jm  +o  }Y  ,2023-08-11T16:12:08,73,58,39,2023-08-11 16:12:08
26,4933112439505151,NdTp9DSIT,ó 7   g  N  ¨R  ,2023-08-10T08:58:40,86,63,31,2023-08-10 08:58:40
27,4952319584633555,NlX4qjroL,"曲水流「香」，礼待天下。
隐园-萧山国际机场季节快闪店来了！
从T4航站楼国际出发区出发，踏上花西子的“丝绸之路”。#花西子妆点亚运##花西子隐园东方待客之道# 
花西子Florasis的微博视频
 ",2023-10-02T09:01:01,2780,483,25,2023-10-02 09:01:01
28,4951232164923466,NluMwkEOK,"桂香袅袅，故里逢秋时。
月光皎皎，团圆在中秋。
中秋节至，月满人间；岁月明朗，月圆人安。
花西子与卿共赏月圆，祝卿中秋喜乐，事事如愿~#中秋节# ",2023-09-29T09:00:00,10250,773,45,2023-09-29 09:00:00
29,4951046352799362,NlpWPbKf0,"在东方园林，见证曲水流香 #花西子妆点亚运##花西子隐园东方待客之道# 
花西子Florasis的微博视频
 ",2023-09-28T20:41:39,2466,418,57,2023-09-28 20:41:39
30,4950979764290708,Nlodqi0cY,"#我有一个梦想# 
为国货之崛起而奋斗！祝大家双节快乐！
                         ——国货助梦大使 花西子 ",2023-09-28T16:17:03,71252,9146,3755,2023-09-28 16:17:03
31,4950264111433993,Nl5B9612V,#我有一个梦想#我，花西子，6岁半，我有一个梦想，做一个立足本土，走向世界的高端品牌。 ,2023-09-26T16:53:18,2897676,133461,140214,2023-09-26 16:53:18
32,4949223487837570,NkEwIwSUq,"东方之美，妆点亚运。
作为杭州亚运会官方供应商，花西子走进亚运开幕式化妆间，为开幕式演员和嘉宾们提供妆容服务，以东方之美妆点亚运。
花西子与卿共同期待在世界舞台上展现不一样的东方魅力，共同为亚运力量喝彩！#花西子妆点亚运##杭州亚运会# ",2023-09-23T19:58:14,9690,820,93,2023-09-23 19:58:14
33,4948904833190636,NkweLdo1S,"曲水流「香」，礼待天下。
花西子西湖隐园·曲水流香限定「上新」！
从曲水流觞，到曲水流香，王羲之《兰亭集序》中的风雅流传至今；
从全亚洲，来到杭州，有朋自远方来，在隐园遇见中国之美；
从过去，走到未来，亚运文化展在隐园展现三代中国亚运风采……
迎天下客，也等卿来。#花西子妆点亚运#  ...
全文",2023-09-22T22:52:01,602,227,76,2023-09-22 22:52:01
34,4947752490635426,Nk2g92FiO,"有奖征集！送礼盒和眉笔！【转发】即可参与～
大家近期的支持与建议，小西都收到了～为更好地服务大家，我们将抽100位送美妆礼盒，另外再抽10000人来体验我们的眉笔，诚恳地向大家征集使用反馈。
9月23日-9月24日陆续开奖！#花西子发声# ",2023-09-19T18:33:01,85193,85794,296305,2023-09-19 18:33:01
35,4947738510229678,Nk1TB0XKu,感谢大家一直以来对花西子的关注和支持，抱歉我们来晚了，有几句掏心窝子的话想跟大家说。 ,2023-09-19T17:37:27,926377,52053,12823,2023-09-19 17:37:27
36,4945447083574267,Nj4hKeZPt,"亚运开幕在即！与卿共期盛事
杭州亚运会官方供应商花西子，为所有运动健儿们加油！我们杭州见~#杭州亚运会开幕倒计时10天##东方礼玉 妆点亚运# 
花西子Florasis的微博视频
 ",2023-09-13T09:52:09,52955,3835,103,2023-09-13 09:52:09
37,4944363908235866,NiC6Gyywy,ó 8   g  N  ¨R  ,2023-09-10T10:08:00,302117,15871,372,2023-09-10 10:08:00
38,4943033139728750,Ni3uhEOTk,"曲水流「香」，礼待天下。
一千六百多年前，书法家王羲之与众雅士在兰亭清溪两旁席地而坐，酒觞从上游徐徐而下，杯停则饮。
而今，这一具酒觞，穿过了一千六百多年的历史长河，停在了杭州西子湖畔花西子隐园。
今日，隐园不提供酒，但水中有香，以香待客，这是隐园的待客之道。
曲水流香迎雅客，妆点隐 ...
全文",2023-09-06T18:00:00,14989,1059,56,2023-09-06 18:00:00
39,4942898754487281,NhZZxiPlv,"温柔有力，清丽俊逸~
花西子祝东方国色大使@唐诗逸Sy 生日快乐！愿糖糖乘风破浪，一路光芒万丈✨#唐诗逸0906生日快乐# ",2023-09-06T09:06:00,2267,378,114,2023-09-06 09:06:00
40,4940798413768158,Nh7lTfOgK,"东方礼「玉」，礼待天下。
以玉为礼，宜赠佳人；以玉为妆，妆点亚运。
花西子以玉为灵感，取其形，取其意，温润于外，坚韧于内，甄选玉养系列精品，打造「玉」见东方妆奁，
致敬亚运赛场上的每一份精彩。也愿卿淡妆浓抹，皆有雅致玉容。#花西子妆点亚运# #花西子隐园东方待客之道# ",2023-08-31T14:00:00,1317,189,44,2023-08-31 14:00:00
41,4938762711731803,Nggov7gwj,"薪火相传，礼待天下。
花西子隐园-亚运文化展今日开启，共同见证“中国亚运”三十载！
从1990年到2023年，
从北京到广州，再到杭州，#花西子亚运文化展#集三届亚运文化藏品于隐园，
更有熊猫盼盼、乐羊羊以及莲莲、琮琮、宸宸，三代亚运会吉祥物空降现场，
用心为卿打造沉浸式亚运文化空间。
本展将于 ...
全文",2023-08-25T23:10:51,204,105,32,2023-08-25 23:10:51
42,4937939220697880,NfUYi2Vy8,"花西子隐园“张敞画眉”名场面美照大曝光！
少年“张敞”穿越而来，手持眉笔为卿描绘眉间浪漫七夕之日，才子佳人共赴隐园，画眉传情快来一起回顾一场“东方式浪漫”吧~#张敞画眉#  #花西子西湖隐园# #七夕# ",2023-08-23T16:38:35,294,101,32,2023-08-23 16:38:35
43,4937621183139118,NfMHkdaCW,"古有“张敞画眉”，描绘眉间浪漫诗意
今有隐园花季少年，解锁眉间互动惊喜
七夕佳节与卿在花西子西湖隐园，线下偶遇少年“张敞”，现场一起演绎东方式浪漫~ #张敞画眉# #花西子西湖隐园# 
花西子Florasis的微博视频
 ",2023-08-22T19:34:49,142,80,32,2023-08-22 19:34:49
44,4937587259608203,NfLOBEjx1,"七夕同心锁卿意，爱意相随心不移。
七夕佳节，以锁传情，锁定朝夕，花西子与卿共赴岁岁年年。
愿卿遇良人，同心共白头～#一生锁爱永结同心# #七夕# #表白# 
花西子Florasis的微博视频
 ",2023-08-22T17:20:01,116,50,33,2023-08-22 17:20:01
45,4936389365601599,NfgEwnven,"2万份七夕定制鲜花，予卿浪漫，爱意生花~@花点时间的店 @花西子Florasis 带来七夕品牌联合福利，8月12日~8月22日购指定礼盒可享定制鲜花一束，全网限量2万份，即日起赠完即止！
戳图了解活动详情，立即参与！以花传情，爱意长存~ ",2023-08-19T10:00:01,76,52,28,2023-08-19 10:00:01
46,4936132674194340,Nf9YvhB8E,"以妆传情，永结同心。
七夕超有氛围的约会妆容来啦！花西子以月老锦红线为灵感，打造“人面桃花相映红”的浪漫七夕氛围，以妆传情，愿卿一生永结同心，甜甜蜜蜜。
❤线下用户：2023年8月20日-8月22日，即可至花西子西湖隐园门店，现场体验 「红线七夕妆」。七夕当天，还可至门店解锁“才子佳人”亲密 ...
全文",2023-08-18T17:00:01,71,50,34,2023-08-18 17:00:01
47,4935423002677732,NeRvSbeBe,"七夕沉浸式开箱来咯！花西子全球品牌大使@白鹿my 上脸给大家试色，快来抄作业吧！
七夕限定的花西子东方妆奁（七夕小粉版），外观配色采用粉色拉丝纹理，浪漫又少女心，搭配PU皮材质制作，手感柔软舒适，质感高级；不仅是礼盒还是精致的首饰盒哦，真的美观又实用，节日氛围感满满～里面都是花西子明星 ...
全文",2023-08-16T18:00:02,7078,959,703,2023-08-16 18:00:02
48,4935324847838377,NeOXywT7r,"缘定七夕，浪漫予礼。这个七夕和@白鹿my 一起，来得物搜索“花西子”，浪漫好礼等您来！更有满减满赠多种优惠，这个七夕得物花西子助您浪漫告白~
网页链接
 @得物app关注@花西子Florasis 评论并转发，8月23日抽3位幸运花伴送花西子小黛纱唇纱（复古浆红）一支~愿卿在#七夕#以礼传情，爱意无 ...
全文",2023-08-16T11:30:00,7967,1561,1431,2023-08-16 11:30:00
49,4934577426006761,Nevw2pcDf,"缘定七夕，浪漫予你。每一份礼物背后精心挑选的过程，都是#对你的爱这么大#的见证。
佳礼早到家，就选【花西子京东自营旗舰店】，8月16日晚更有花西子首席内容官福利互动，直播间抽万元大奖。#爱让好物 成为礼物#  #爱美尖子生# #京妆大牌# 
网页链接
 @京东美妆 ",2023-08-14T10:00:01,66,49,34,2023-08-14 10:00:01
50,4934215038929270,Nem5xBsUu,"为爱加码就送花西子七夕限定礼！
8月14日-8月16日京东京妆大牌享福利！领券爆品至高减50元，赠爱人、赠挚友、赠自己，来【花西子京东自营旗舰店】，花西子品牌挚友、人气偶像@孙珍妮的微博 为您推荐专属好礼，送礼无忧~#爱让好物 成为礼物# #爱美尖子生# #京妆大牌# 
网页链接
 @京东美妆  ...
全文",2023-08-13T10:00:01,2224,218,93,2023-08-13 10:00:01
51,4933852655517779,NecF3n9qr,"花式示爱，浪漫不停。
8月14日-8月16日京东花西子京妆大牌甜蜜来袭，花西子品花官@李若彤 邀您来【花西子京东自营旗舰店】购东方爱情礼，尽释浓情爱意~#爱让好物 成为礼物#  #爱美尖子生# #京妆大牌#@京东美妆  
网页链接
 
花西子Florasis的微博视频
 ",2023-08-12T10:00:01,82,53,37,2023-08-12 10:00:01
52,4933583909422316,Ne5FADxaQ,ó í~  Q  ;u  	w  KN  ¦~  ÿ  ã    jm  +o  }Y  ,2023-08-11T16:12:08,73,58,39,2023-08-11 16:12:08
53,4933112439505151,NdTp9DSIT,ó 7   g  N  ¨R  ,2023-08-10T08:58:40,86,63,31,2023-08-10 08:58:40
54,4952319584633555,NlX4qjroL,"曲水流「香」，礼待天下。
隐园-萧山国际机场季节快闪店来了！
从T4航站楼国际出发区出发，踏上花西子的“丝绸之路”。#花西子妆点亚运##花西子隐园东方待客之道# 
花西子Florasis的微博视频
 ",2023-10-02T09:01:01,2788,484,25,2023-10-02 09:01:01
55,4951232164923466,NluMwkEOK,"桂香袅袅，故里逢秋时。
月光皎皎，团圆在中秋。
中秋节至，月满人间；岁月明朗，月圆人安。
花西子与卿共赏月圆，祝卿中秋喜乐，事事如愿~#中秋节# ",2023-09-29T09:00:00,10255,773,45,2023-09-29 09:00:00
56,4951046352799362,NlpWPbKf0,"在东方园林，见证曲水流香 #花西子妆点亚运##花西子隐园东方待客之道# 
花西子Florasis的微博视频
 ",2023-09-28T20:41:39,2468,418,57,2023-09-28 20:41:39
57,4950979764290708,Nlodqi0cY,"#我有一个梦想# 
为国货之崛起而奋斗！祝大家双节快乐！
                         ——国货助梦大使 花西子 ",2023-09-28T16:17:03,71275,9146,3754,2023-09-28 16:17:03
58,4950264111433993,Nl5B9612V,#我有一个梦想#我，花西子，6岁半，我有一个梦想，做一个立足本土，走向世界的高端品牌。 ,2023-09-26T16:53:18,2897707,133461,140170,2023-09-26 16:53:18
59,4949223487837570,NkEwIwSUq,"东方之美，妆点亚运。
作为杭州亚运会官方供应商，花西子走进亚运开幕式化妆间，为开幕式演员和嘉宾们提供妆容服务，以东方之美妆点亚运。
花西子与卿共同期待在世界舞台上展现不一样的东方魅力，共同为亚运力量喝彩！#花西子妆点亚运##杭州亚运会# ",2023-09-23T19:58:14,9690,820,93,2023-09-23 19:58:14
60,4948904833190636,NkweLdo1S,"曲水流「香」，礼待天下。
花西子西湖隐园·曲水流香限定「上新」！
从曲水流觞，到曲水流香，王羲之《兰亭集序》中的风雅流传至今；
从全亚洲，来到杭州，有朋自远方来，在隐园遇见中国之美；
从过去，走到未来，亚运文化展在隐园展现三代中国亚运风采……
迎天下客，也等卿来。#花西子妆点亚运#  ...
全文",2023-09-22T22:52:01,602,227,76,2023-09-22 22:52:01
61,4947752490635426,Nk2g92FiO,"有奖征集！送礼盒和眉笔！【转发】即可参与～
大家近期的支持与建议，小西都收到了～为更好地服务大家，我们将抽100位送美妆礼盒，另外再抽10000人来体验我们的眉笔，诚恳地向大家征集使用反馈。
9月23日-9月24日陆续开奖！#花西子发声# ",2023-09-19T18:33:01,85193,85793,296249,2023-09-19 18:33:01
62,4947738510229678,Nk1TB0XKu,感谢大家一直以来对花西子的关注和支持，抱歉我们来晚了，有几句掏心窝子的话想跟大家说。 ,2023-09-19T17:37:27,926380,52053,12822,2023-09-19 17:37:27
63,4945447083574267,Nj4hKeZPt,"亚运开幕在即！与卿共期盛事
杭州亚运会官方供应商花西子，为所有运动健儿们加油！我们杭州见~#杭州亚运会开幕倒计时10天##东方礼玉 妆点亚运# 
花西子Florasis的微博视频
 ",2023-09-13T09:52:09,52955,3835,103,2023-09-13 09:52:09
64,4944363908235866,NiC6Gyywy,ó 8   g  N  ¨R  ,2023-09-10T10:08:00,302117,15871,372,2023-09-10 10:08:00
65,4943033139728750,Ni3uhEOTk,"曲水流「香」，礼待天下。
一千六百多年前，书法家王羲之与众雅士在兰亭清溪两旁席地而坐，酒觞从上游徐徐而下，杯停则饮。
而今，这一具酒觞，穿过了一千六百多年的历史长河，停在了杭州西子湖畔花西子隐园。
今日，隐园不提供酒，但水中有香，以香待客，这是隐园的待客之道。
曲水流香迎雅客，妆点隐 ...
全文",2023-09-06T18:00:00,14989,1059,56,2023-09-06 18:00:00
66,4942898754487281,NhZZxiPlv,"温柔有力，清丽俊逸~
花西子祝东方国色大使@唐诗逸Sy 生日快乐！愿糖糖乘风破浪，一路光芒万丈✨#唐诗逸0906生日快乐# ",2023-09-06T09:06:00,2267,378,114,2023-09-06 09:06:00
67,4940798413768158,Nh7lTfOgK,"东方礼「玉」，礼待天下。
以玉为礼，宜赠佳人；以玉为妆，妆点亚运。
花西子以玉为灵感，取其形，取其意，温润于外，坚韧于内，甄选玉养系列精品，打造「玉」见东方妆奁，
致敬亚运赛场上的每一份精彩。也愿卿淡妆浓抹，皆有雅致玉容。#花西子妆点亚运# #花西子隐园东方待客之道# ",2023-08-31T14:00:00,1317,189,44,2023-08-31 14:00:00
68,4938762711731803,Nggov7gwj,"薪火相传，礼待天下。
花西子隐园-亚运文化展今日开启，共同见证“中国亚运”三十载！
从1990年到2023年，
从北京到广州，再到杭州，#花西子亚运文化展#集三届亚运文化藏品于隐园，
更有熊猫盼盼、乐羊羊以及莲莲、琮琮、宸宸，三代亚运会吉祥物空降现场，
用心为卿打造沉浸式亚运文化空间。
本展将于 ...
全文",2023-08-25T23:10:51,204,105,32,2023-08-25 23:10:51
69,4937939220697880,NfUYi2Vy8,"花西子隐园“张敞画眉”名场面美照大曝光！
少年“张敞”穿越而来，手持眉笔为卿描绘眉间浪漫七夕之日，才子佳人共赴隐园，画眉传情快来一起回顾一场“东方式浪漫”吧~#张敞画眉#  #花西子西湖隐园# #七夕# ",2023-08-23T16:38:35,294,101,32,2023-08-23 16:38:35
70,4937621183139118,NfMHkdaCW,"古有“张敞画眉”，描绘眉间浪漫诗意
今有隐园花季少年，解锁眉间互动惊喜
七夕佳节与卿在花西子西湖隐园，线下偶遇少年“张敞”，现场一起演绎东方式浪漫~ #张敞画眉# #花西子西湖隐园# 
花西子Florasis的微博视频
 ",2023-08-22T19:34:49,142,80,32,2023-08-22 19:34:49
71,4937587259608203,NfLOBEjx1,"七夕同心锁卿意，爱意相随心不移。
七夕佳节，以锁传情，锁定朝夕，花西子与卿共赴岁岁年年。
愿卿遇良人，同心共白头～#一生锁爱永结同心# #七夕# #表白# 
花西子Florasis的微博视频
 ",2023-08-22T17:20:01,116,50,33,2023-08-22 17:20:01
72,4936389365601599,NfgEwnven,"2万份七夕定制鲜花，予卿浪漫，爱意生花~@花点时间的店 @花西子Florasis 带来七夕品牌联合福利，8月12日~8月22日购指定礼盒可享定制鲜花一束，全网限量2万份，即日起赠完即止！
戳图了解活动详情，立即参与！以花传情，爱意长存~ ",2023-08-19T10:00:01,76,52,28,2023-08-19 10:00:01
73,4936132674194340,Nf9YvhB8E,"以妆传情，永结同心。
七夕超有氛围的约会妆容来啦！花西子以月老锦红线为灵感，打造“人面桃花相映红”的浪漫七夕氛围，以妆传情，愿卿一生永结同心，甜甜蜜蜜。
❤线下用户：2023年8月20日-8月22日，即可至花西子西湖隐园门店，现场体验 「红线七夕妆」。七夕当天，还可至门店解锁“才子佳人”亲密 ...
全文",2023-08-18T17:00:01,71,50,34,2023-08-18 17:00:01
74,4935423002677732,NeRvSbeBe,"七夕沉浸式开箱来咯！花西子全球品牌大使@白鹿my 上脸给大家试色，快来抄作业吧！
七夕限定的花西子东方妆奁（七夕小粉版），外观配色采用粉色拉丝纹理，浪漫又少女心，搭配PU皮材质制作，手感柔软舒适，质感高级；不仅是礼盒还是精致的首饰盒哦，真的美观又实用，节日氛围感满满～里面都是花西子明星 ...
全文",2023-08-16T18:00:02,7078,959,703,2023-08-16 18:00:02
75,4935324847838377,NeOXywT7r,"缘定七夕，浪漫予礼。这个七夕和@白鹿my 一起，来得物搜索“花西子”，浪漫好礼等您来！更有满减满赠多种优惠，这个七夕得物花西子助您浪漫告白~
网页链接
 @得物app关注@花西子Florasis 评论并转发，8月23日抽3位幸运花伴送花西子小黛纱唇纱（复古浆红）一支~愿卿在#七夕#以礼传情，爱意无 ...
全文",2023-08-16T11:30:00,7967,1561,1431,2023-08-16 11:30:00
76,4934577426006761,Nevw2pcDf,"缘定七夕，浪漫予你。每一份礼物背后精心挑选的过程，都是#对你的爱这么大#的见证。
佳礼早到家，就选【花西子京东自营旗舰店】，8月16日晚更有花西子首席内容官福利互动，直播间抽万元大奖。#爱让好物 成为礼物#  #爱美尖子生# #京妆大牌# 
网页链接
 @京东美妆 ",2023-08-14T10:00:01,66,49,34,2023-08-14 10:00:01
77,4934215038929270,Nem5xBsUu,"为爱加码就送花西子七夕限定礼！
8月14日-8月16日京东京妆大牌享福利！领券爆品至高减50元，赠爱人、赠挚友、赠自己，来【花西子京东自营旗舰店】，花西子品牌挚友、人气偶像@孙珍妮的微博 为您推荐专属好礼，送礼无忧~#爱让好物 成为礼物# #爱美尖子生# #京妆大牌# 
网页链接
 @京东美妆  ...
全文",2023-08-13T10:00:01,2224,218,93,2023-08-13 10:00:01
78,4933852655517779,NecF3n9qr,"花式示爱，浪漫不停。
8月14日-8月16日京东花西子京妆大牌甜蜜来袭，花西子品花官@李若彤 邀您来【花西子京东自营旗舰店】购东方爱情礼，尽释浓情爱意~#爱让好物 成为礼物#  #爱美尖子生# #京妆大牌#@京东美妆  
网页链接
 
花西子Florasis的微博视频
 ",2023-08-12T10:00:01,82,53,37,2023-08-12 10:00:01
79,4933583909422316,Ne5FADxaQ,ó í~  Q  ;u  	w  KN  ¦~  ÿ  ã    jm  +o  }Y  ,2023-08-11T16:12:08,73,58,39,2023-08-11 16:12:08
80,4933112439505151,NdTp9DSIT,ó 7   g  N  ¨R  ,2023-08-10T08:58:40,86,63,31,2023-08-10 08:58:40
