screen_name,profile_image_url,location,created_time,text
Murphy浅浅,"https://tvax1.sinaimg.cn/crop.0.0.828.828.50/5ea9dc0cly8hd8jxwyulej20n00n0wew.jpg?KID=imgbed,tva&Expires=1696920701&ssig=IdqW8UfOVN",安徽 阜阳,Sat Aug 19 08:51:56  2023,不到三十但已经出道15年 历尽繁华归来仍是少年
宋宋鹿_,"https://tvax1.sinaimg.cn/crop.0.0.828.828.50/006Ia7n8ly8hdm5p434l7j30n00n0jsi.jpg?KID=imgbed,tva&Expires=1696920701&ssig=DPbvvESbh4",其他,Fri Aug 18 18:45:08  2023,哈哈哈哈哈三十岁的年纪二十年的工龄
夏乄殇,"https://tvax4.sinaimg.cn/crop.0.179.1080.1080.50/85f2b65fly8gzipupm3vpj20u013zgn5.jpg?KID=imgbed,tva&Expires=1696920702&ssig=Y0V%2FYKOm1J",吉林 长春,Fri Aug 18 22:02:58  2023,总感觉，看你直播从小看到大[偷乐]
默默大黄猫,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/727f3f3cly8hfzbzygzv1j20u00u0gmh.jpg?KID=imgbed,tva&Expires=1696920702&ssig=BZj97sdDFt",其他,Fri Aug 18 18:03:21  2023,反正都是老李头儿[doge]
薯片打烊了,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/9de423fcly8gzuexcyvmoj20e80e8q3i.jpg?KID=imgbed,tva&Expires=1696920702&ssig=0PuqiRKuC7",其他,Fri Aug 18 16:20:58  2023,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈没有吗
在等一个白敬亭,"https://tvax2.sinaimg.cn/crop.0.0.1044.1044.50/d9825f81ly8gqqcbvx95nj20t00t0gn6.jpg?KID=imgbed,tva&Expires=1696920702&ssig=rVNQwANTfg",广东 深圳,Fri Aug 18 16:21:11  2023,哈哈哈哈，所以你几岁。[doge]
Me菟星,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/6a331cfdly8hex114z8wdj20u00u10vx.jpg?KID=imgbed,tva&Expires=1696920702&ssig=YGWhBoyqE9",辽宁 鞍山,Fri Aug 18 17:58:52  2023,哈哈哈，31岁的李佳琦你好！你今年有40了吗～[二哈]哈哈哈哈哈～
脆皮甜糖,"https://tvax2.sinaimg.cn/crop.0.0.960.960.50/006tJ2rwly8h90skq1sj0j30qo0qojsq.jpg?KID=imgbed,tva&Expires=1696920702&ssig=77G5PFxrFG",北京 东城区,Fri Aug 18 17:38:59  2023,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈你自己质疑这件事情好笑程度10000000000000000000000000000%
Mua一口奈奈子,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/6d18e6dely8h7za6yg12bj20u00u041y.jpg?KID=imgbed,tva&Expires=1696920702&ssig=uDKoUuxUYH",其他,Fri Aug 18 19:06:50  2023,我不管，李俊朗十八岁[哈哈]
X-九千七,"https://tvax2.sinaimg.cn/crop.0.0.1057.1057.50/e54397adly8hboznqr1srj20td0tdgnw.jpg?KID=imgbed,tva&Expires=1696920702&ssig=2W9SLK9cP0",北京,Fri Aug 18 17:44:27  2023,哈哈哈，笑死我吗这是谁评论的[允悲][允悲][允悲]
气球yao,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/006op0Thly8hc7t2lwdnoj30u00u078p.jpg?KID=imgbed,tva&Expires=1696920702&ssig=t8lhrJhAhR",四川 成都,Fri Aug 18 16:21:07  2023,哈哈哈哈哈哈哈哈哈哈哈 太损了
老师我要改大手,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/8f85cfacly8gdv9urm2mzj20u00u0wf0.jpg?KID=imgbed,tva&Expires=1696920702&ssig=X6iWrfvwVU",贵州 贵阳,Sat Aug 19 06:47:13  2023,精华白擦了[哈哈][哈哈][哈哈][哈哈][哈哈]
萌动-莼-喵,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/006sqZ2Kly8hfptpdkhj6j30u00u0jtd.jpg?KID=imgbed,tva&Expires=1696920702&ssig=R7Xyfh0QPY",青海,Fri Aug 18 16:21:08  2023,好哈哈哈哈哈哈哈哈哈
倒霉熊and流氓兔,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/951f4a79ly8hd7qin3p51j20u00u077p.jpg?KID=imgbed,tva&Expires=1696920702&ssig=jp%2FLOrs1Em",其他,Fri Aug 18 16:52:20  2023,你竟然还有时间看评论[吃惊]我不理解！[doge] http://t.cn/A60FRjug
二氧化碳女孩是我了,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/007dzALkly8h6ot1cii8ij30u00u0gmq.jpg?KID=imgbed,tva&Expires=1696920702&ssig=Kv5EDCqISn",辽宁 沈阳,Fri Aug 18 16:21:11  2023,所以是三十几
愿望吃吃吃不胖,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/006G4XCtly8gdi8qzyxunj30ro0rogni.jpg?KID=imgbed,tva&Expires=1696920702&ssig=3sn0ssVQxs",其他,Fri Aug 18 21:31:57  2023,哈哈哈哈哈 虽然他叫老李头 但他不是真老头呀
瞧什么瞧轶圭,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/006160Xsly8h1f8f63l0xj30u00u0tbd.jpg?KID=imgbed,tva&Expires=1696920702&ssig=egz5INOGg0",海外,Fri Aug 18 17:46:56  2023,30吧[嘻嘻]
韩秋秋CocO,"https://tva4.sinaimg.cn/crop.0.0.180.180.50/6ee4767cjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1696920702&ssig=1%2Bhj28IMYj",上海 静安区,Sat Aug 19 07:45:03  2023,xswl精华白擦了
婕婕婕婕婕__1107_,"https://tvax4.sinaimg.cn/crop.0.0.576.576.50/6052e78cly8hh72b0wyz5j20g00g0my4.jpg?KID=imgbed,tva&Expires=1696920702&ssig=rbUltK2AfN",北京,Fri Aug 18 19:47:10  2023,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈老李头真成老·李头了
费里五罐装,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/d9a017dfly8hfju3eqh80j20u00u0taj.jpg?KID=imgbed,tva&Expires=1696920702&ssig=5O1PzkzhJ8",其他,Fri Aug 18 16:57:40  2023,对不起…李老头[抓狂] http://t.cn/A60FRe8t
HU-Suji,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/a4aa761fly8hi6qtwoingj20u00u0jut.jpg?KID=imgbed,tva&Expires=1696920702&ssig=YN7lVhlHZc",浙江 杭州,Fri Aug 18 16:26:12  2023,这是我们家40岁的大明星李佳琦先森～
万事如意大吉大利好运莲莲努力上,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/0061PUrLly8hhhcsxymdkj30u00u00ut.jpg?KID=imgbed,tva&Expires=1696920702&ssig=AHkqsSSwP%2F",其他,Fri Aug 18 23:14:39  2023,你才28？我以为你都30多了[跪了]
还是那条小尾巴吖,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/008eBfxPly8hi5nzce78rj30u00u0mzj.jpg?KID=imgbed,tva&Expires=1696920703&ssig=cat3kbjz1q",河南,Fri Aug 18 18:48:48  2023,好惨一个李老头 你快让我去你仓库跳东西 我帮你去🈳️评 李佳琦刚成年
寧的谎,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/48370e45ly8gmd0fni2tqj20u00u0djc.jpg?KID=imgbed,tva&Expires=1696920703&ssig=ME1nro8wlH",天津,Fri Aug 18 16:35:24  2023,此刻李老头的表情 http://t.cn/A60F884j
借一丝温暖儿,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/0074aIxPly8goeschad4dj30ro0rot9g.jpg?KID=imgbed,tva&Expires=1696920703&ssig=lm2PuXC6ch",其他,Fri Aug 18 16:27:55  2023,李老头： http://t.cn/A60F85Cj
LaaLynn,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/006cirV3ly8hfhhy5whzcj30e80e8dh7.jpg?KID=imgbed,tva&Expires=1696920703&ssig=YHTYxaPyHK",广东 江门,Fri Aug 18 16:22:08  2023,哈哈哈哈哈哈哈 李俊郎永远18[哇]
溫柔妹喲,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/005w3iUoly8hh4kp5opnvj30u00u0q5t.jpg?KID=imgbed,tva&Expires=1696920703&ssig=VRA7VL0fhc",广东 广州,Fri Aug 18 16:22:31  2023,啊哈哈哈哈哈哈[doge]夸你的你是一点看不见
erbaoiyl,"https://tvax2.sinaimg.cn/crop.0.1.1080.1080.50/b895f613ly8g3ika312fmj20u00u3wfz.jpg?KID=imgbed,tva&Expires=1696920703&ssig=%2FRAjs2gUkK",江西 南昌,Sat Aug 19 11:27:20  2023,28也太年轻了[允悲][允悲][允悲]
小狐狸的夏天呀,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/94e48c29ly8hi6tx9n0jrj20e80e80t4.jpg?KID=imgbed,tva&Expires=1696920703&ssig=zj0idwo6yj",湖北 武汉,Sat Aug 19 09:42:36  2023,🙈🙈🙈+7太年轻了，人家猜不出年龄
稚茵茵,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/c50c74e0ly8gddgzj0ix0j20ro0roacq.jpg?KID=imgbed,tva&Expires=1696920703&ssig=3%2Bd3dNyNx%2F",其他,Mon Sep 11 16:04:01  2023,怎么会有人觉得你有40岁，找找自己的原因
八道小橙吱_,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/005NyJobly8hgdid9nr7vj30e80e8wez.jpg?KID=imgbed,tva&Expires=1696920703&ssig=T5bBrNe8gX",山东,Fri Aug 18 16:20:40  2023,哈哈话[笑哈哈]
Prettysunshine1220,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/dc8a7f22ly8he6bs8z99vj20u00u0juz.jpg?KID=imgbed,tva&Expires=1696920703&ssig=twn8Ey4boF",江苏 南通,Fri Aug 18 16:20:37  2023,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
是詹晓玥Ya,"https://tvax3.sinaimg.cn/crop.0.0.960.960.50/005JqJp8ly8hcltj52y0jj30qo0qogmk.jpg?KID=imgbed,tva&Expires=1696920703&ssig=%2B098cs1GVv",浙江 金华,Sun Sep 10 23:02:12  2023,养狗四年狗都知道报恩[doge]
Cccllyo,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/0068Icmmly8h0jrtxtxr6j30u00u075f.jpg?KID=imgbed,tva&Expires=1696920703&ssig=io4uBOPnTK",浙江 杭州,Sun Aug 20 02:54:07  2023,➕7哥，能说说mistine吗？618囤货的到现在只用了一只，去海边一趟晒黑了就闲置了
两星期的小鼠,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/005O1RB9ly8hhaipho0m6j30u00u0gnj.jpg?KID=imgbed,tva&Expires=1696920703&ssig=pMzLhB%2FxNz",上海,Fri Aug 18 16:21:06  2023,永远18岁
辣辣的辣椒树,"https://tva2.sinaimg.cn/crop.0.0.640.640.50/a788723ejw8esk30uowlaj20hs0hsq33.jpg?KID=imgbed,tva&Expires=1696920703&ssig=GcF7SfLd2J",湖南 岳阳,Fri Aug 18 23:02:03  2023,31
YYinn_x,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/9fff8abcly8gxopfrsraqj20ro0roacb.jpg?KID=imgbed,tva&Expires=1696920703&ssig=DpP%2FGbVLOh",上海,Fri Aug 18 22:52:24  2023,好美[允悲][NO]
爱吃番茄不爱吃西红柿女士,"https://tvax2.sinaimg.cn/crop.0.0.1037.1037.50/007aGfxuly8hb0taqzxbuj30st0stq4o.jpg?KID=imgbed,tva&Expires=1696920703&ssig=sQSfrpIQ0v",安徽,Fri Aug 18 18:14:02  2023,李佳琦居然只有三十！！！！
叫我佳菇凉,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/802ab933ly8fhswmbcawjj20ro0ro75w.jpg?KID=imgbed,tva&Expires=1696920703&ssig=IDMsV4ZrUT",广东 汕头,Fri Aug 18 16:21:47  2023,哈哈哈哈哈哈，那么问题来了，李佳琦到底几岁呢？[笑cry][笑cry][笑cry]@李佳琦Austin
别喊我熬夜,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/005RosPyly8hg5u2onk6tj30u00u0769.jpg?KID=imgbed,tva&Expires=1696920703&ssig=JRZNVzSlkU",其他,Sat Aug 19 06:49:07  2023,嬛嬛一袅楚宫腰
youa1472835,"https://tvax4.sinaimg.cn/crop.0.0.758.758.50/0067ntTXly8h7zs7jmvudj30l20l23z1.jpg?KID=imgbed,tva&Expires=1696920703&ssig=M5BES%2FSPMG",广西 桂林,Tue Aug 22 15:56:00  2023,但是真的很像那种保养的很好的上了年纪的男的。看着年轻，但总觉得是保养的好。
鹰羽恋歌,"https://tvax4.sinaimg.cn/crop.0.0.828.828.50/005TEFoTly8h3n9gig02qj30n00n041j.jpg?KID=imgbed,tva&Expires=1696920703&ssig=OjL7B90BXd",北京 大兴区,Sat Aug 19 01:05:37  2023,怎么不回评论呀[并不简单]
倒霉熊and流氓兔,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/951f4a79ly8hd7qin3p51j20u00u077p.jpg?KID=imgbed,tva&Expires=1696920704&ssig=Bve6PkxMiZ",其他,Fri Aug 18 16:50:10  2023,你在我心里永远18[抱一抱]哈哈哈哈哈哈哈🤣 http://t.cn/A60FR9uB
神一样的殇逝1990,"https://tvax4.sinaimg.cn/crop.0.0.664.664.50/0075szUMly8g5ngn7gs33j30ig0igmy0.jpg?KID=imgbed,tva&Expires=1696920704&ssig=9b%2B3an%2BsGn",其他,Mon Sep 11 23:55:01  2023,你妈妈当初拿不出2万的学费，肯定是因为没有努力工作，绝对不是因为学费太贵了，让你妈妈注意一下自身的原因吧，人家学校也不容易
鼠来又鼠去yo,"https://tvax3.sinaimg.cn/crop.0.0.1032.1032.50/007fc9fGly8hhfru86fr3j30so0sp75h.jpg?KID=imgbed,tva&Expires=1696920704&ssig=y0Be%2FNXtvp",辽宁,Fri Aug 18 16:27:32  2023,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
晓茗的超人,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/77221ad9ly8gjjg2bgs15j20u00u0tbg.jpg?KID=imgbed,tva&Expires=1696920704&ssig=B%2Bq7bcB4Lc",江苏,Sat Aug 19 10:58:06  2023,瞎说80了[doge]
胖哒胖哒是panda,"https://tvax3.sinaimg.cn/crop.0.0.928.928.50/7c2bad17ly8hha8njr1llj20ps0psac2.jpg?KID=imgbed,tva&Expires=1696920704&ssig=t66nJKqqas",福建,Sat Aug 19 10:55:17  2023,哈哈哈哈哈哈哈哈哈哈哈哈哈感觉又离谱又有道理
ptyljna_zz,"https://tvax1.sinaimg.cn/crop.0.0.430.430.50/e4ef7c9aly8h9m6wkqjp8j20by0by0st.jpg?KID=imgbed,tva&Expires=1696920704&ssig=QhzivXWOzm",其他,Fri Aug 18 18:59:56  2023,李叔叔好[兔子]
BlueFokiss灵玉,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/005vKebrly8hhpjlaj783j30u00u0dj8.jpg?KID=imgbed,tva&Expires=1696920704&ssig=7Itn8UkF6a",其他,Fri Aug 18 17:21:28  2023,哥你不如不发，你一发这评论区讨论的，雪上加霜，午夜心碎了哈哈哈哈哈哈[抱抱][抱抱]
